time,x,y,phi,xvar,yvar,phivar,xycovar,xphicovar,yphicovar
1745816866.9238517,-886.579792547971,-16171.348215885082,2.511744950035773,6253009748.43836,17337214.873118736,30.860000000000305,-327544204.82597065,419950.0167861671,-21509.536443052733
1745816867.0234308,-890.051344204694,-16297.214983768383,2.552519661235447,6359214148.8581085,17486934.72143132,30.910000000000306,-331722903.2024062,423834.2652430458,-21616.66852717921
1745816867.1287603,-893.519822884351,-16424.689593143383,2.376802673216371,6467772644.288554,17637265.48719868,30.960000000000306,-335962206.33064324,427774.5054188271,-21723.879203167406
1745816867.2246394,-896.9860446937382,-16553.368120975414,2.4133659586347953,6578376072.284029,17788242.029870547,31.010000000000307,-340254173.48226416,431758.39264050685,-21831.193430386036
1745816867.3287852,-900.4500272758305,-16682.447207279125,2.6634302206157194,6690354700.326277,17939864.871875793,31.060000000000308,-344581592.96514064,435761.135106785,-21938.61153025672
1745816867.423877,-903.9140098579228,-16811.526293582836,2.9134944825966436,6803367502.119563,18092232.50269371,31.11000000000031,-348936765.66477,439770.3315273783,-22046.20282925651
1745816867.5293787,-907.3779924400151,-16940.605379886547,-3.1196265626020185,6917416143.804939,18245346.122241832,31.16000000000031,-353319736.293923,443785.98190228676,-22153.9673273854
1745816867.6235695,-910.8419750221074,-17069.684466190258,-2.86956230062113,7032502291.5234585,18399206.930437695,31.21000000000031,-357730549.5653702,447808.08623151045,-22261.905024643394
1745816867.7308102,-914.3059576041996,-17198.76355249397,-2.619498038640206,7148627611.416173,18553816.12719883,31.26000000000031,-362169250.1918823,451836.6445150493,-22370.015921030496
1745816867.823549,-917.7699401862919,-17327.84263879768,-2.3694337766592817,7265793769.624134,18709174.91244277,31.31000000000031,-366635882.88623,455871.65675290336,-22478.300016546702
1745816867.9294536,-921.2339227683842,-17456.92172510139,-2.1193695146783575,7384002432.288394,18865284.486087047,31.360000000000312,-371130492.36118394,459913.1229450726,-22586.757311192014
1745816868.0244455,-924.6979053504765,-17586.0008114051,-1.8693052526974334,7503255265.550005,19022146.048049197,31.410000000000313,-375653123.3295148,463961.043091557,-22695.387804966427
1745816868.1292737,-928.1618879325688,-17715.079897708812,-1.6192409907165093,7623553935.550019,19179760.79824675,31.460000000000313,-380203820.5039932,468015.4171923566,-22804.191497869946
1745816868.223385,-931.6245582588017,-17844.36038476936,-1.4765375685793352,7745090262.731731,19338069.80077246,31.510000000000314,-384786623.8337117,472082.58131528145,-22913.127106333235
1745816868.329016,-935.0872285850346,-17973.640871829906,-1.333834146442161,7867679035.503195,19497133.819000248,31.560000000000315,-389397616.0432562,476156.2094625593,-23022.235848312834
1745816868.4244113,-938.5498989112675,-18102.921358890453,-1.191130724304987,7991321925.208842,19656954.051938698,31.610000000000316,-394036841.8981974,480236.3016341902,-23131.517723808745
1745816868.5306647,-942.0139477737248,-18233.61166650764,-1.7998311107615628,8117386282.662993,19817595.775702063,31.660000000000316,-398737779.4832585,484367.42225796956,-23241.01630835102
1745816868.623678,-945.4842472560704,-18364.906145877758,-2.7305529815931386,8245121582.459718,19979288.630129397,31.710000000000317,-403484521.9168684,488524.2054748275,-23350.88598996208
1745816868.7245908,-948.9573848731816,-18496.402010745922,2.5145496149111217,8374147711.087767,20141877.818917036,31.760000000000318,-408266260.72003484,492693.93934979703,-23461.01918380068
1745816868.8237078,-952.4503720290959,-18628.904696292797,0.9397847753295245,8505271860.473667,20306168.398730848,31.81000000000032,-413110581.8559776,496902.2246427658,-23571.956455872518
1745816868.9346373,-955.9765384681523,-18763.011507816234,-0.20919881425205133,8639119897.794847,20472806.203006778,31.86000000000032,-418038944.1319309,501168.1623173264,-23684.123810298905
1745816869.024032,-959.515029001981,-18898.11963159553,-0.8244299624273772,8775125257.036913,20640822.215176437,31.91000000000032,-423027472.0526239,505472.7071409348,-23796.86011870669
1745816869.1308966,-963.0573554523289,-19033.63054162971,-1.654382790290203,8912705360.098148,20809820.118370768,31.96000000000032,-428058073.1257405,509796.8602801255,-23909.895755737292
1745816869.2235157,-966.6156998164952,-19170.34750635139,-2.700216965809279,9052698500.121458,20980389.07558629,32.01000000000032,-433156542.3787914,514166.33447263046,-24023.620441616047
1745816869.3280835,-970.1855502612889,-19308.266085452953,-3.105548211640855,9195133560.034214,21152323.469893068,32.060000000000315,-438321102.9747068,518581.10818967153,-24137.891354353895
1745816869.4239683,-973.756116438657,-19446.78549463264,3.0925267969727805,9339415812.833202,21325109.077925786,32.11000000000031,-443532154.23159707,523022.04044797237,-24252.36370600032
1745816869.5290158,-977.3266826160252,-19585.304903812328,3.0074164984068084,9484929335.63878,21498712.785619713,32.16000000000031,-448774943.5031581,527469.8986767322,-24367.014585955614
1745816869.623601,-980.8958604820073,-19724.224871463695,3.1357766588252325,9632102186.249641,21673067.891085573,32.210000000000306,-454058588.1636979,531937.5648364002,-24481.799346125597
1745816869.7284265,-984.4519184119999,-19864.346438236156,-2.3785455582484296,9781806449.182072,21847597.597597256,32.2600000000003,-459396666.6531472,536450.8805021412,-24596.339972050664
1745816869.8242385,-988.0044837482274,-20004.668246097484,-1.502962497439416,9932993170.1607,22022769.951605104,32.3100000000003,-464769928.0345762,540977.6620237477,-24710.94572979736
1745816869.9259813,-991.5531836040318,-20145.19029504768,-0.5206289483491169,10085669756.896477,22198565.299276587,32.3600000000003,-470178240.15751475,545517.9294253285,-24825.6042221384
1745816870.0241284,-995.1018834598362,-20285.712343997875,0.46170460074118225,10239623346.31067,22375175.05376208,32.410000000000295,-475618801.3065287,550065.2229293569,-24940.440149472233
1745816870.1239355,-998.6329253204167,-20427.442675418773,0.7999646635033564,10396196234.507082,22551715.626337346,32.46000000000029,-481112141.2532213,554658.7029707083,-25054.881216173646
1745816870.2242844,-1002.1610994823277,-20569.575808353344,0.9235640817342805,10554522744.202316,22728920.65790993,32.51000000000029,-486646480.25099504,559272.3444657645,-25169.40574946928
1745816870.3344135,-1005.6887078769505,-20712.715945072094,0.5104508534808296,10715297484.55204,22906905.82705117,32.56000000000029,-492238541.9240517,563925.830310491,-25284.08829837847
1745816870.4241693,-1009.218731213361,-20856.258883304516,-0.11735353688199623,10877863510.82368,23085823.402785894,32.610000000000284,-497875064.06498146,568599.5883793387,-25399.025858211997
1745816870.5299287,-1012.7487545497715,-20999.801821536937,-0.7451579272448221,11041772337.255657,23265553.066110738,32.66000000000028,-503544608.4915108,573280.523595098,-25514.139919212346
1745816870.6242108,-1016.2787778861821,-21143.34475976936,-1.372962317607648,11207026024.305481,23446096.06313218,32.71000000000028,-509247225.87463194,577968.635957769,-25629.430481379513
1745816870.7244313,-1019.8088012225926,-21286.88769800178,-2.000766707970474,11373626632.430664,23627453.6399567,32.760000000000275,-514982966.88533705,582663.9254673516,-25744.8975447135
1745816870.8243592,-1023.3388245590031,-21430.430636234203,-2.6285710983332997,11541576222.088718,23809627.04269077,32.81000000000027,-520751882.19461834,587366.3921238458,-25860.54110921431
1745816870.9235117,-1026.8688478954136,-21573.973574466625,3.0268098184834606,11710876853.737154,23992617.51744086,32.86000000000027,-526554022.47346795,592076.0359272516,-25976.361174881942
1745816871.0236676,-1030.3988712318242,-21717.516512699047,2.3990054281206135,11881530587.833483,24176426.310313452,32.91000000000027,-532389438.392878,596792.856877569,-26092.357741716394
1745816871.124698,-1033.9288945682347,-21861.05945093147,1.7712010377577876,12053539484.835218,24361054.667415023,32.960000000000264,-538258180.6238407,601516.854974798,-26208.530809717664
1745816871.2235177,-1037.4589179046452,-22004.60238916389,1.1433966473949617,12226905605.199871,24546503.834852044,33.01000000000026,-544160299.8373483,606248.0302189387,-26324.880378885755
